nombre_comun,nombre_cientifico,codigo_ebird,fecha_observacion,lat,lon,ubicacion,cantidad
Eared Dove,Zenaida auriculata,eardov1,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,10
Western Cattle-Egret,Ardea ibis,categr1,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,1
Black Vulture,Coragyps atratus,blkvul,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,15
Turkey Vulture,Cathartes aura,turvul,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,5
Tropical Kingbird,Tyrannus melancholicus,trokin,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,3
Blue-and-white Swallow,Pygochelidon cyanoleuca,bawswa1,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,4
House Sparrow,Passer domesticus,houspa,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,5
Saffron Finch,Sicalis flaveola,saffin,2026-04-20 08:43,-6.504532,-76.3723612,Aeropuerto Comandante FAP Guillermo del Castillo Paredes,4
Burrowing Owl,Athene cunicularia,burowl,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,2
Chestnut-eared Aracari,Pteroglossus castanotis,cheara1,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,3
Blue-headed Parrot,Pionus menstruus,blhpar1,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,2
Chestnut-tailed Antbird,Sciaphylax hemimelaena,chtant2,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,1
Blue-gray Tanager,Thraupis episcopus,bugtan,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,5
Palm Tanager,Thraupis palmarum,paltan1,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,4
Blue-black Grassquit,Volatinia jacarina,blbgra1,2026-04-06 16:32,-6.496955,-76.3355184,Centro Recreacional Laguna Venecia,2
Ferruginous Pygmy-Owl,Glaucidium brasilianum,fepowl,2026-04-03 00:14,-6.4720024,-76.3598761,Sector Lomas De San Pedro,1
